prompt,answer
What is the capital of France?,Paris
Who is the current President of the United States?,Joe Biden
What is the largest planet in our solar system?,Jupiter
Who wrote 'To Kill a Mockingbird'?,Harper Lee
What is the chemical symbol for water?,H2O
What is the speed of light in a vacuum?,"299,792 km/s"
What is the square root of 144?,12
What is the tallest mountain in the world?,Mount Everest
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest ocean on Earth?,Pacific Ocean
What is the capital city of Japan?,Tokyo
What is the smallest country in the world?,Vatican City
What is the hardest natural substance on Earth?,Diamond
What is the longest river in the world?,Nile River
Who is the founder of Microsoft?,Bill Gates
Who developed the theory of relativity?,Albert Einstein
What is the powerhouse of the cell?,Mitochondria
What is the main ingredient in guacamole?,Avocado
What country is known for the Eiffel Tower?,France
What is the smallest bone in the human body?,Stapes
Who invented the telephone?,Alexander Graham Bell
What is the currency used in Japan?,Yen
What is the capital of Canada?,Ottawa
What is the name of the closest star to Earth?,Sun
What is the national dish of Italy?,Pasta
What is the boiling point of water in Celsius?,100°C
What is the capital of Brazil?,Brasilia
Who was the first man on the moon?,Neil Armstrong
What is the name of the longest bone in the human body?,Femur
